break_alert_logs	employee_id	employees	id	break_alert_logs_ibfk_2
break_alert_logs	manager_id	employees	id	break_alert_logs_ibfk_3
break_audit_logs	employee_id	employees	id	break_audit_logs_ibfk_1
break_audit_logs	kiosk_device_id	break_kiosk_devices	id	break_audit_logs_ibfk_2
break_daily_summary	employee_id	employees	id	break_daily_summary_ibfk_1
break_daily_summary	branch_id	branch_master	id	break_daily_summary_ibfk_2
break_daily_summary	process_id	process_master	id	break_daily_summary_ibfk_3
break_daily_summary	manager_id	employees	id	break_daily_summary_ibfk_4
break_daily_summary	active_break_id	break_sessions	id	break_daily_summary_ibfk_5
break_kiosk_devices	branch_id	branch_master	id	break_kiosk_devices_ibfk_1
break_kiosk_devices	process_id	process_master	id	break_kiosk_devices_ibfk_2
break_sessions	employee_id	employees	id	break_sessions_ibfk_1
break_sessions	branch_id	branch_master	id	break_sessions_ibfk_2
break_sessions	process_id	process_master	id	break_sessions_ibfk_3
break_sessions	department_id	department_master	id	break_sessions_ibfk_4
break_sessions	manager_id	employees	id	break_sessions_ibfk_5
break_sessions	kiosk_device_id	break_kiosk_devices	id	break_sessions_ibfk_6
break_settings	branch_id	branch_master	id	break_settings_ibfk_1
break_settings	process_id	process_master	id	break_settings_ibfk_2
campaign_master	process_id	process_master	id	campaign_master_ibfk_1
campaign_master	lob_id	lob_master	id	campaign_master_ibfk_2
candidate_digilocker_sessions	candidate_id	ats_candidate	id	candidate_digilocker_sessions_ibfk_1
candidate_payroll_review_flags	candidate_id	ats_candidate	id	candidate_payroll_review_flags_ibfk_1
chat_funnel_detail	conversion_funnel_event_id	conversion_funnel_event	id	chat_funnel_detail_ibfk_1
client_credit_note	cost_centre_id	cost_centre_master	id	fk_ccn_cost_centre
client_credit_note	invoice_id	client_invoice	id	fk_ccn_invoice
client_credit_note_line	credit_note_id	client_credit_note	id	fk_ccnl_credit_note
client_invoice	cost_centre_id	cost_centre_master	id	fk_ci_cost_centre
client_invoice_audit_log	invoice_id	client_invoice	id	fk_cial_invoice
client_invoice_line	invoice_id	client_invoice	id	fk_cil_invoice
client_po_number	cost_centre_id	cost_centre_master	id	fk_cpn_cost_centre
client_po_particular	invoice_id	client_invoice	id	fk_cpp_invoice
client_po_particular	po_id	client_po_number	id	fk_cpp_po
client_provision	cost_centre_id	cost_centre_master	id	fk_cp_cost_centre
client_provision_deduction	invoice_id	client_invoice	id	fk_cpd_invoice
client_provision_deduction	provision_id	client_provision	id	fk_cpd_provision
client_user	client_id	client_master	id	client_user_ibfk_1
coaching_session	employee_id	employees	id	coaching_session_ibfk_1
communication_preferences	employee_id	employees	id	fk_comm_prefs_emp
communication_template	created_by	employees	id	communication_template_ibfk_1
cost_centre_approval_log	cost_centre_id	cost_centre_master	id	fk_cc_approval_centre
cost_centre_contacts	cost_centre_id	cost_centre_master	id	fk_cc_contact_centre
cost_centre_master	branch_id	branch_master	id	cost_centre_master_ibfk_1
cost_centre_master	department_id	department_master	id	cost_centre_master_ibfk_2
cost_centre_master	client_id	client_master	id	fk_cc_client
cost_centre_master	lob_id	lob_master	id	fk_cc_lob
cost_centre_master	parent_cost_centre_id	cost_centre_master	id	fk_cc_parent
cost_centre_master	process_id	process_master	id	fk_cc_process
cost_centre_seat_rate	cost_centre_id	cost_centre_master	id	fk_ccsr_cost_centre
cost_centre_seat_rate	designation_id	designation_master	id	fk_ccsr_designation
creche_facility	branch_id	branch_master	id	creche_facility_ibfk_1
customization_application_log	rule_id	customization_rule	id	customization_application_log_ibfk_1
department_master	branch_id	branch_master	id	department_master_ibfk_1
department_master	parent_department_id	department_master	id	fk_dept_parent
designation_band_matrix	department_id	department_master	id	designation_band_matrix_ibfk_1
designation_band_matrix	designation_id	designation_master	id	designation_band_matrix_ibfk_2
designation_band_matrix	grade_id	grade_band_master	id	designation_band_matrix_ibfk_3
designation_band_matrix	min_slab_id	salary_slab_master	id	designation_band_matrix_ibfk_4
designation_master	grade_id	grade_band_master	id	fk_desig_grade
designation_role_map	role_key	workforce_role_catalog	role_key	designation_role_map_ibfk_1
development_plan	report_id	performance_feedback_report	report_id	development_plan_ibfk_1
development_plan	employee_id	employees	id	development_plan_ibfk_2
development_plan	manager_id	employees	id	development_plan_ibfk_3
development_plan_goal	plan_id	development_plan	plan_id	development_plan_goal_ibfk_1
development_plan_goal	competency_id	competency_master	competency_id	development_plan_goal_ibfk_2
development_plan_goal	training_need_id	training_need	id	development_plan_goal_ibfk_3
dialer_session_log	employee_id	employees	id	dialer_session_log_ibfk_1
dispatch_log	template_id	communication_template	id	dispatch_log_ibfk_1
dispatch_log	recipient_employee_id	employees	id	dispatch_log_ibfk_2
email_funnel_detail	conversion_funnel_event_id	conversion_funnel_event	id	email_funnel_detail_ibfk_1
employee_address	employee_id	employees	id	employee_address_ibfk_1
employee_badge_earned	badge_id	gamification_badge_master	badge_id	employee_badge_earned_ibfk_1
employee_badge_earned	employee_id	employees	id	employee_badge_earned_ibfk_2
employee_bank_detail	employee_id	employees	id	fk_bank_emp
employee_biometric_enrollment	employee_id	employees	id	employee_biometric_enrollment_ibfk_1
employee_biometric_enrollment	device_id	biometric_device_master	id	employee_biometric_enrollment_ibfk_2
employee_client_mapping	employee_id	employees	id	employee_client_mapping_ibfk_1
employee_contract	employee_id	employees	id	employee_contract_ibfk_1
employee_cost_centre_allocation	cost_centre_id	cost_centre_master	id	fk_ecca_cost_centre
employee_cost_centre_allocation	employee_id	employees	id	fk_ecca_employee
employee_deduction_entries	employee_id	employees	id	fk_ede_employee
employee_deductions_log	employee_id	employees	id	employee_deductions_log_ibfk_1
employee_document_esign_transaction	checklist_id	employee_joining_document_checklist	id	fk_edet_checklist
employee_document_esign_transaction	employee_id	employees	id	fk_edet_employee
employee_documents	employee_id	employees	id	employee_documents_ibfk_1
employee_education	employee_id	employees	id	employee_education_ibfk_1
employee_emergency_contact	employee_id	employees	id	fk_eec_emp
employee_epf_audit_log	employee_id	employees	id	fk_employee_epf_audit_employee
employee_epf_audit_log	profile_id	employee_epf_compliance_profile	id	fk_employee_epf_audit_profile
employee_epf_compliance_profile	employee_id	employees	id	fk_employee_epf_profile_employee
employee_epf_consent_receipt	employee_id	employees	id	fk_employee_epf_consent_employee
employee_epf_consent_receipt	profile_id	employee_epf_compliance_profile	id	fk_employee_epf_consent_profile
employee_epf_ecr_readiness	employee_id	employees	id	fk_employee_epf_ecr_employee
employee_epf_ecr_readiness	profile_id	employee_epf_compliance_profile	id	fk_employee_epf_ecr_profile
employee_epf_form_instance	employee_id	employees	id	fk_employee_epf_form_employee
employee_epf_form_instance	profile_id	employee_epf_compliance_profile	id	fk_employee_epf_form_profile
employee_epf_nominee	employee_id	employees	id	fk_employee_epf_nominee_employee
employee_epf_nominee	profile_id	employee_epf_compliance_profile	id	fk_employee_epf_nominee_profile
employee_epf_validation_result	employee_id	employees	id	fk_employee_epf_validation_employee
employee_epf_validation_result	profile_id	employee_epf_compliance_profile	id	fk_employee_epf_validation_profile
employee_exit_record	employee_id	employees	id	employee_exit_record_ibfk_1
employee_experience	employee_id	employees	id	employee_experience_ibfk_1
employee_external_mapping	employee_id	employees	id	employee_external_mapping_ibfk_1
employee_gamification_tier	current_tier_id	gamification_tier	id	employee_gamification_tier_ibfk_1
employee_gamification_tier	employee_id	employees	id	employee_gamification_tier_ibfk_2
employee_job_history	employee_id	employees	id	employee_job_history_ibfk_1
employee_job_history	from_manager_id	employees	id	employee_job_history_ibfk_2
employee_job_history	to_manager_id	employees	id	employee_job_history_ibfk_3
employee_joining_document_audit_log	employee_id	employees	id	fk_ejdal_employee
employee_joining_document_checklist	employee_id	employees	id	fk_ejdc_employee
employee_joining_document_field_value	checklist_id	employee_joining_document_checklist	id	fk_employee_joining_document_value_checklist
employee_joining_document_field_value	employee_id	employees	id	fk_employee_joining_document_value_employee
employee_joining_document_file	checklist_id	employee_joining_document_checklist	id	fk_ejdf_checklist
employee_joining_document_file	employee_id	employees	id	fk_ejdf_employee
employee_joining_document_public_token	checklist_id	employee_joining_document_checklist	id	fk_ejdpt_checklist
employee_joining_document_public_token	employee_id	employees	id	fk_ejdpt_employee
employee_joining_esign_kit	anchor_checklist_id	employee_joining_document_checklist	id	fk_ejek_anchor
employee_joining_esign_kit	employee_id	employees	id	fk_ejek_employee
employee_joining_esign_kit_item	checklist_id	employee_joining_document_checklist	id	fk_ejeki_checklist
employee_joining_esign_kit_item	kit_id	employee_joining_esign_kit	id	fk_ejeki_kit
employee_journey_log	employee_id	employees	id	employee_journey_log_ibfk_1
employee_kpi_assignment	employee_id	employees	id	employee_kpi_assignment_ibfk_1
employee_legacy_meta	employee_id	employees	id	employee_legacy_meta_ibfk_1
employee_lifecycle_event	employee_id	employees	id	employee_lifecycle_event_ibfk_1
employee_loans	employee_id	employees	id	employee_loans_ibfk_1
employee_loans	guarantor_emp_id	employees	id	employee_loans_ibfk_2
employee_nominee	employee_id	employees	id	employee_nominee_ibfk_1
employee_payroll_head_review	employee_id	employees	id	employee_payroll_head_review_ibfk_1
employee_payroll_head_review	salary_package_id	salary_package_master	id	employee_payroll_head_review_ibfk_2
employee_payroll_head_review	rejection_reason_code	payroll_head_review_reason_master	code	employee_payroll_head_review_ibfk_3
employee_payroll_head_review_history	employee_id	employees	id	employee_payroll_head_review_history_ibfk_1
employee_payroll_head_review_history	review_id	employee_payroll_head_review	id	employee_payroll_head_review_history_ibfk_2
employee_performance_daily_snapshot	employee_id	employees	id	fk_emp_perf_snapshot_employee
employee_pf_withdrawal	employee_id	employees	id	employee_pf_withdrawal_ibfk_1
employee_probation	employee_id	employees	id	employee_probation_ibfk_1
employee_reactivation_request	employee_id	employees	id	fk_rerq_employee
employee_reactivation_request	initiated_by	auth_user	id	fk_rerq_initiated_by
employee_salary_assignment	employee_id	employees	id	employee_salary_assignment_ibfk_1
employee_salary_snapshot	employee_id	employees	id	employee_salary_snapshot_ibfk_1
employee_seat_rate_override	employee_id	employees	id	fk_esro_employee
employee_skill	skill_id	skill_master	id	employee_skill_ibfk_1
employee_statutory_info	employee_id	employees	id	employee_statutory_info_ibfk_1
employee_task	employee_id	employees	id	employee_task_ibfk_1
employee_task	assigned_to_user_id	auth_user	id	employee_task_ibfk_2
employee_task	completed_by	auth_user	id	employee_task_ibfk_3
employee_task	template_id	task_template	id	employee_task_ibfk_4
employee_task_checklist	task_id	employee_task	id	employee_task_checklist_ibfk_1
employee_task_checklist	completed_by	auth_user	id	employee_task_checklist_ibfk_2
employee_task_comment	task_id	employee_task	id	employee_task_comment_ibfk_1
employee_task_comment	user_id	auth_user	id	employee_task_comment_ibfk_2
employee_tier_status	employee_id	employees	id	employee_tier_status_ibfk_1
employee_tier_status	current_tier_id	gamification_tier_master	tier_id	employee_tier_status_ibfk_2
employee_uan	employee_id	employees	id	fk_uan_employee
employees	branch_id	branch_master	id	employees_ibfk_1
employees	department_id	department_master	id	employees_ibfk_2
employees	process_id	process_master	id	employees_ibfk_3
employees	designation_id	designation_master	id	employees_ibfk_4
employees	cost_centre_id	cost_centre_master	id	fk_emp_cost_centre
employees	grade_id	grade_band_master	id	fk_emp_grade
employees	lob_id	lob_master	id	fk_emp_lob
employees	manager_id	employees	id	fk_emp_manager
exit_approval_log	exit_request_id	exit_request	id	exit_approval_log_ibfk_1
exit_clearance_checklist	exit_request_id	exit_request	id	exit_clearance_checklist_ibfk_1
exit_pass_approvals	approver_employee_id	employees	id	exit_pass_approvals_ibfk_approver
exit_pass_approvals	exit_pass_id	exit_pass_requests	id	exit_pass_approvals_ibfk_pass
exit_pass_audit_logs	exit_pass_id	exit_pass_requests	id	exit_pass_audit_logs_ibfk_pass
exit_pass_items	exit_pass_id	exit_pass_requests	id	exit_pass_items_ibfk_pass
exit_pass_requests	admin_employee_id	employees	id	exit_pass_requests_ibfk_admin
exit_pass_requests	branch_head_employee_id	employees	id	exit_pass_requests_ibfk_bh
exit_pass_requests	branch_id	branch_master	id	exit_pass_requests_ibfk_branch
exit_pass_requests	carrier_employee_id	employees	id	exit_pass_requests_ibfk_carrier_emp
exit_pass_requests	created_by	employees	id	exit_pass_requests_ibfk_creator
exit_pass_requests	destination_branch_id	branch_master	id	exit_pass_requests_ibfk_dest_branch
exit_pass_requests	exit_verified_by	employees	id	exit_pass_requests_ibfk_exit_verifier
exit_pass_requests	requestor_employee_id	employees	id	exit_pass_requests_ibfk_requestor
exit_pass_requests	return_responsible_employee_id	employees	id	exit_pass_requests_ibfk_return_resp
exit_pass_requests	return_verified_by	employees	id	exit_pass_requests_ibfk_return_verifier
exit_request	employee_id	employees	id	exit_request_ibfk_1
finance_budget_approval_log	budget_id	finance_budget_header	id	fk_budget_approval_header
finance_budget_closure_reopen_request	closure_id	finance_budget_subhead_closure	id	fk_budget_reopen_closure
finance_budget_closure_reopen_request	budget_id	finance_budget_header	id	fk_budget_reopen_header
finance_budget_line	budget_id	finance_budget_header	id	fk_budget_line_header
finance_budget_line_allocation	budget_line_id	finance_budget_line	id	fk_budget_line_allocation_line
finance_budget_line_correction	budget_id	finance_budget_header	id	fk_fblc_budget
finance_budget_line_tax_amendment	budget_id	finance_budget_header	id	fk_bltax_budget
finance_budget_subhead_closure	budget_id	finance_budget_header	id	fk_budget_subhead_closure_header
finance_budget_subhead_status	budget_id	finance_budget_header	id	fk_budget_subhead_budget
finance_budget_subhead_status	expense_head_id	finance_expense_head_master	id	fk_budget_subhead_head
finance_budget_subhead_status	expense_sub_head_id	finance_expense_sub_head_master	id	fk_budget_subhead_subhead
finance_budget_topup_request	budget_id	finance_budget_header	id	fk_budget_topup_header
finance_budget_topup_request	budget_line_id	finance_budget_line	id	fk_budget_topup_line
finance_budget_topup_request_split	topup_request_id	finance_budget_topup_request	id	fk_topup_split_request
finance_cost_centre_grade_driver	grade_id	grade_band_master	id	fk_grade_driver_grade
finance_cost_centre_mapping_history	cost_centre_id	cost_centre_master	id	fk_cc_mapping_history_cost_centre
finance_expense_sub_head_master	head_id	finance_expense_head_master	id	fk_finance_expense_sub_head_head
finance_meter_cost_centre_share	meter_id	finance_meter_master	id	fk_meter_share_meter
finance_meter_reading	meter_id	finance_meter_master	id	fk_meter_reading_meter
finance_meter_reconciliation	meter_id	finance_meter_master	id	fk_meter_reconciliation_meter
finance_pnl_component_master	parent_component_key	finance_pnl_component_master	component_key	fk_pnl_component_parent
full_final_calculation	exit_request_id	exit_request	id	fk_ff_exit_request
funnel_employee_performance	employee_id	employees	id	funnel_employee_performance_ibfk_1
gamification_point_log	employee_id	employees	id	gamification_point_log_ibfk_1
gamification_points_ledger	employee_id	employees	id	gamification_points_ledger_ibfk_1
generated_letter	employee_id	employees	id	generated_letter_ibfk_1
generated_letter	template_id	letter_template	id	generated_letter_ibfk_2
glide_path_commitment	metric_id	kpi_metric_master	id	glide_path_commitment_ibfk_1
governance_checklist_log	activity_id	governance_activity_master	id	governance_checklist_log_ibfk_1
gratuity_accrual_ledger	employee_id	employees	id	gratuity_accrual_ledger_ibfk_1
gratuity_calculation_audit	employee_id	employees	id	fk_gca_emp
gratuity_calculation_audit	exit_request_id	exit_request	id	fk_gca_exit
gratuity_distribution	exit_request_id	exit_request	id	gratuity_distribution_ibfk_1
gratuity_distribution	employee_id	employees	id	gratuity_distribution_ibfk_2
gratuity_distribution	nominee_id	employee_nominee	id	gratuity_distribution_ibfk_3
grievance	employee_id	employees	id	grievance_ibfk_1
grn_cost_allocation	budget_id	finance_budget_header	id	fk_grn_allocation_budget
grn_cost_allocation	budget_line_id	finance_budget_line	id	fk_grn_allocation_budget_line
grn_cost_allocation	invoice_component_id	grn_invoice_component	id	fk_grn_allocation_component
grn_cost_allocation	grn_request_id	grn_request	id	fk_grn_allocation_grn
grn_document	grn_request_id	grn_request	id	fk_grn_document_grn
grn_document_extraction	document_id	grn_document	id	fk_grn_extraction_document
grn_document_extraction	grn_request_id	grn_request	id	fk_grn_extraction_grn
grn_duplicate_match	grn_request_id	grn_request	id	fk_grn_duplicate_grn
grn_invoice_component	grn_request_id	grn_request	id	fk_grn_invoice_component_grn
grn_period_allocation	cost_allocation_id	grn_cost_allocation	id	fk_grn_period_allocation
grn_request	company_code	finance_company	company_code	fk_grn_company_code
grn_validation_override	grn_request_id	grn_request	id	fk_grn_validation_override_grn
grn_validation_result	grn_request_id	grn_request	id	fk_grn_validation_grn
gst_export_batch	generated_by	auth_user	id	fk_gst_batch_generated_by
gst_export_row	batch_id	gst_export_batch	id	fk_gst_row_batch
helpdesk_kb_feedback	article_id	helpdesk_kb_article	id	fk_kb_feedback_article
helpdesk_ticket	employee_id	employees	id	helpdesk_ticket_ibfk_1
helpdesk_ticket_comment	ticket_id	helpdesk_ticket	id	helpdesk_ticket_comment_ibfk_1
holiday_cost_centre_mapping	holiday_id	leave_holiday_master	id	holiday_cost_centre_mapping_ibfk_1
holiday_designation_mapping	holiday_id	leave_holiday_master	id	holiday_designation_mapping_ibfk_1
holiday_work_approval_log	request_id	holiday_work_request	id	holiday_work_approval_log_ibfk_1
holiday_work_auto_log	employee_id	employees	id	holiday_work_auto_log_ibfk_1
holiday_work_auto_log	holiday_id	leave_holiday_master	id	holiday_work_auto_log_ibfk_2
holiday_work_auto_log	policy_id	holiday_work_policy_master	id	holiday_work_auto_log_ibfk_3
holiday_work_request	holiday_id	leave_holiday_master	id	holiday_work_request_ibfk_1
holiday_work_request	payout_policy_id	holiday_work_policy_master	id	holiday_work_request_ibfk_2
holiday_work_request_designation	request_id	holiday_work_request	id	holiday_work_request_designation_ibfk_1
holiday_work_request_employee	request_id	holiday_work_request	id	holiday_work_request_employee_ibfk_1
holiday_work_request_employee	employee_id	employees	id	holiday_work_request_employee_ibfk_2
ijp_application	current_branch_id	branch_master	id	fk_ijp_app_cur_branch
ijp_application	current_department_id	department_master	id	fk_ijp_app_cur_dept
ijp_application	current_designation_id	designation_master	id	fk_ijp_app_cur_desg
ijp_application	current_process_id	process_master	id	fk_ijp_app_cur_proc
ijp_application	employee_id	employees	id	fk_ijp_app_employee
ijp_application	manager_id	employees	id	fk_ijp_app_manager
ijp_application	posting_id	ijp_posting	id	fk_ijp_app_posting
ijp_application	reviewed_by	employees	id	fk_ijp_app_reviewer
ijp_notification_queue	employee_id	employees	id	fk_ijp_notif_employee
ijp_notification_queue	posting_id	ijp_posting	id	fk_ijp_notif_posting
ijp_posting	branch_id	branch_master	id	fk_ijp_posting_branch
ijp_posting	department_id	department_master	id	fk_ijp_posting_department
ijp_posting	designation_id	designation_master	id	fk_ijp_posting_designation
ijp_posting	posted_by	employees	id	fk_ijp_posting_posted_by
ijp_posting	process_id	process_master	id	fk_ijp_posting_process
imprest_allocation	imprest_manager_id	imprest_manager	id	fk_imprest_allocation_manager
imprest_manager	branch_id	branch_master	id	fk_imprest_manager_branch
inbound_funnel_detail	conversion_funnel_event_id	conversion_funnel_event	id	inbound_funnel_detail_ibfk_1
incentive_upload_line	batch_id	incentive_upload_batch	id	incentive_upload_line_ibfk_1
integration_call_daily	integration_key	integration_config	integration_key	fk_call_daily_integration
integration_process_alias	process_id	process_master	id	integration_process_alias_ibfk_1
integration_raw_payload	run_id	integration_connector_run	id	integration_raw_payload_ibfk_1
integration_schedule	integration_key	integration_config	integration_key	integration_schedule_ibfk_1
integration_schema_snapshot	run_id	integration_connector_run	id	integration_schema_snapshot_ibfk_1
integration_table_map	integration_key	integration_config	integration_key	fk_table_map_integration
ispark_employee_staging	batch_id	ispark_migration_batch	id	ispark_employee_staging_ibfk_1
ispark_employee_staging	promoted_employee_id	employees	id	ispark_employee_staging_ibfk_2
it_provisioning_request	employee_id	employees	id	it_provisioning_request_ibfk_1
job_requisition_approval_log	requisition_id	job_requisition	id	job_requisition_approval_log_ibfk_1
job_requisition_candidate	requisition_id	job_requisition	id	job_requisition_candidate_ibfk_1
kpi_assignment	template_id	kpi_template	id	kpi_assignment_ibfk_1
kpi_daily_actual	employee_id	employees	id	kpi_daily_actual_ibfk_1
kpi_daily_actual	metric_id	kpi_metric_master	id	kpi_daily_actual_ibfk_2
kpi_employee_resolved	employee_id	employees	id	kpi_employee_resolved_ibfk_1
kpi_employee_resolved	metric_id	kpi_metric_master	id	kpi_employee_resolved_ibfk_2
kpi_master_config	metric_id	kpi_metric_master	id	kpi_master_config_ibfk_1
