Section,Route,Component,ComponentFile,GateType,GateValue,IsRedirect,RedirectTarget
a45bb8ba8afbb77cf; this file holds the section-representative subset plus every row flagged
as noteworthy. Key findings from full discovery, not duplicated row-by-row here:

TOTAL ROUTES: 381 across 12 route files (public 36, dashboards 12, people 26, recruitment 38,
workforce 50, payroll 43, performance 44, compliance 11, finance 25, platform 89, portal 3,
visitor 4).

FINDING 1 - Duplicate redirect declarations (dead code, platform.routes.tsx copies never win):
  /payroll/variance and /payroll/cost-summary declared in both payroll.routes.tsx AND
  platform.routes.tsx (payroll's registers first in index.tsx, wins).
  /break-reports and /break-session-log declared in both workforce.routes.tsx AND
  platform.routes.tsx (workforce's wins).

FINDING 2 - Dead lazy imports in finance.routes.tsx: MyExpenses, NewExpenseClaim,
  ExpenseApprovals, FinanceQueue, ExpenseReports imported but never rendered by any Route -
  all /expenses/* paths redirect to /payroll/reimbursements (module retired per in-file comment).

FINDING 3 - roles=[...] dead-code pattern: on any route whose pathname appears in
  PAGE_CODE_BY_ROUTE (src/lib/pageRoutePageCodes.ts), ProtectedRoute's roles prop is NEVER
  evaluated - access is 100% governed by the DB role_page_access grant for that pageCode.
  See UAT_ROLE_MATRIX.csv Part 3 for the full dead-vs-live table (69 dead, 17 live combos).

FINDING 4 - Four routes deliberately NOT page-gated despite sensitive admin function, because
  gating on an absent pageCode fails closed for everyone incl. super_admin:
  /settings/signing-certificate, /settings/provisioning-recipients, /settings/fraud-alerts,
  /settings/branch-payroll-hr (all platform.routes.tsx). Backend enforces role separately.

FINDING 5 - /quality/executive (performance.routes.tsx) changed TODAY (2026-08-17) from a
  redirect to a real gated page (ExecutiveQualityDashboard) - flagged as newly-live
  functionality requiring first-time UAT, not regression-only.
